RID,T-06:00:00,ORIGIN,DESTINATION,TRIP_LENGTH
1,0,39984,39395,2741
2,0,12948,12243,1631
3,0,12069,23489,10782
4,0,13022,12791,2011
5,0,12405,12791,3451
6,0,26808,23524,3039
7,0,21378,30332,6957
8,0,50161,30506,2795
9,0,12072,6198,11177
10,0,13416,22483,9594
11,0,23487,23524,4803
12,0,22575,24209,2926
13,0,33693,33662,1128
14,0,14265,12155,8458
15,0,24816,25104,608
16,0,24816,34518,8836
17,0,24414,25942,4330
18,0,15493,12155,9726
19,0,32602,33662,2354
20,0,20605,21959,1169
21,0,21959,30091,6241
22,0,19963,20123,908
23,0,24804,23788,3482
24,0,17914,12791,10625
25,0,34317,32184,3725
26,0,31605,29341,2932
27,0,30720,34052,4171
28,0,28185,24493,3632
29,0,26143,27477,2388
30,0,35104,35522,1297
31,0,27783,30311,3379
32,0,21487,22236,1006
33,0,31870,33081,1612
34,0,31870,31865,331
35,0,27338,27317,263
36,0,33214,22749,8152
37,0,33061,27329,5138
38,0,26275,29714,3514
39,0,24191,20144,6137
40,0,30439,32184,1801
41,0,18451,12243,13178
42,0,19770,15499,6052
43,0,48036,17154,5503
44,0,13593,7611,7160
45,0,28012,25406,2130
46,0,10012,8806,1399
47,0,19996,20235,1540
48,0,29291,30243,1229
49,0,25249,19963,5519
50,0,50483,20764,15796
51,0,9709,20764,14552
52,0,33081,32947,77
53,0,31838,21966,8203
54,0,31838,49728,882
55,0,30678,34193,4558
56,0,38775,37207,2201
57,0,21124,22563,3241
58,0,19803,31168,9115
59,0,19347,25447,4738
60,0,11205,20764,12470
61,0,18215,19273,1247
62,0,23555,23616,372
63,0,29871,30867,1253
64,0,30951,31179,269
65,0,23832,26942,4920
66,0,34483,19252,13904
67,0,31407,34117,5887
68,0,23232,20764,7138
69,0,27720,22583,6411
70,0,26701,22141,3968
71,0,30250,30520,444
72,0,49484,29934,918
73,0,27281,28637,4380
74,0,25604,29652,3756
75,0,29269,49726,3436
76,0,16668,16425,204
77,0,27707,22137,4599
78,0,21166,26933,6199
79,0,28776,20764,8772
80,0,33135,32663,562
81,0,24588,26564,2244
82,0,17835,20764,5996
83,0,30576,32332,2840
84,0,49306,20764,7995
85,1,12155,32184,23132
86,1,14015,13747,163
87,1,12642,12405,3190
88,1,47594,13949,748
89,1,13960,12243,2894
90,1,13019,12243,941
91,1,20088,12243,9587
92,1,28743,12791,16884
93,1,18911,20020,2748
94,1,22353,19582,3147
95,1,21720,33662,9752
96,1,13442,14104,7200
97,1,13442,12791,6839
98,1,32998,30499,7001
99,1,13416,12791,6807
100,1,31716,12243,19856
