RID,T-06:00:00,ORIGIN,DESTINATION,TRIP_LENGTH
1,0,39984,39395,2741
2,0,12948,12243,1631
3,0,12069,23489,10782
4,0,13022,12791,2011
5,0,12405,12791,3451
6,0,26808,23524,3039
7,0,21378,30332,6957
8,0,50161,30506,2795
9,0,12072,6198,11177
10,0,13416,22483,9594
11,0,23487,23524,4803
12,0,22575,24209,2926
13,0,33693,33662,1128
14,0,14265,12155,8458
15,0,24816,25104,608
16,0,24816,34518,8836
17,0,24414,25942,4330
18,0,15493,12155,9726
19,0,32602,33662,2354
20,0,20605,21959,1169
21,0,21959,30091,6241
22,0,19963,20123,908
23,0,24804,23788,3482
24,0,17914,12791,10625
25,0,34317,32184,3725
26,0,31605,29341,2932
27,0,30720,34052,4171
28,0,28185,24493,3632
29,0,26143,27477,2388
30,0,35104,35522,1297
31,0,27783,30311,3379
32,0,21487,22236,1006
33,0,31870,33081,1612
34,0,31870,31865,331
35,0,27338,27317,263
36,0,33214,22749,8152
37,0,33061,27329,5138
38,0,26275,29714,3514
39,0,24191,20144,6137
40,0,30439,32184,1801
41,0,18451,12243,13178
42,0,19770,15499,6052
43,0,48036,17154,5503
44,0,13593,7611,7160
45,0,28012,25406,2130
46,0,10012,8806,1399
47,0,19996,20235,1540
48,0,29291,30243,1229
49,0,25249,19963,5519
50,0,50483,20764,15796
51,0,9709,20764,14552
52,0,33081,32947,77
53,0,31838,21966,8203
54,0,31838,49728,882
55,0,30678,34193,4558
56,0,38775,37207,2201
57,0,21124,22563,3241
58,0,19803,31168,9115
59,0,19347,25447,4738
60,0,11205,20764,12470
61,0,18215,19273,1247
62,0,23555,23616,372
63,0,29871,30867,1253
64,0,30951,31179,269
65,0,23832,26942,4920
66,0,34483,19252,13904
67,0,31407,34117,5887
68,0,23232,20764,7138
69,0,27720,22583,6411
70,0,26701,22141,3968
71,0,30250,30520,444
72,0,49484,29934,918
73,0,27281,28637,4380
74,0,25604,29652,3756
75,0,29269,49726,3436
76,0,16668,16425,204
77,0,27707,22137,4599
78,0,21166,26933,6199
79,0,28776,20764,8772
80,0,33135,32663,562
81,0,24588,26564,2244
82,0,17835,20764,5996
83,0,30576,32332,2840
84,0,49306,20764,7995
85,1,12155,32184,23132
86,1,14015,13747,163
87,1,12642,12405,3190
88,1,47594,13949,748
89,1,13960,12243,2894
90,1,13019,12243,941
91,1,20088,12243,9587
92,1,28743,12791,16884
93,1,18911,20020,2748
94,1,22353,19582,3147
95,1,21720,33662,9752
96,1,13442,14104,7200
97,1,13442,12791,6839
98,1,32998,30499,7001
99,1,13416,12791,6807
100,1,31716,12243,19856
101,1,14265,12791,6265
102,1,23534,21812,2026
103,1,28523,30091,1398
104,1,30308,33998,5660
105,1,23338,18899,6965
106,1,24224,24028,697
107,1,23498,24122,1090
108,1,38437,36650,8476
109,1,22188,12243,13809
110,1,34228,34713,8828
111,1,22374,25538,2378
112,1,31193,18447,10650
113,1,19239,21945,3936
114,1,17356,12791,9500
115,1,19963,21171,1468
116,1,20761,19963,1078
117,1,27905,27124,852
118,1,23167,26508,3559
119,1,30243,31208,2409
120,1,24066,22936,2083
121,1,6614,6724,456
122,1,28813,23508,4554
123,1,27317,26596,3763
124,1,38148,37761,655
125,1,27338,24611,2793
126,1,31865,22193,10492
127,1,30439,23788,5450
128,1,24913,25406,534
129,1,32615,31838,1135
130,1,48036,12243,12471
131,1,19332,12791,12320
132,1,30439,29784,4085
133,1,19332,19871,2053
134,1,18451,12791,12820
135,1,18451,12243,13178
136,1,48036,12791,12113
137,1,18451,12791,12820
138,1,24191,24981,703
139,1,10012,10064,540
140,1,35187,20764,16858
141,1,31844,30028,3541
142,1,17781,12243,12663
143,1,26474,31838,4327
144,1,27078,31838,3663
145,1,25699,12243,16914
146,1,25885,23788,1909
147,1,25885,24308,2170
148,1,18230,29408,10086
149,1,31838,27518,7336
150,1,30015,31838,1189
151,1,23788,23318,335
152,1,23788,24069,288
153,1,25668,12791,17294
154,1,49728,31126,1783
155,1,50012,34437,3987
156,1,28742,29992,3554
157,1,25823,25601,220
158,1,29871,32184,2175
159,1,27315,28272,2108
160,1,31644,33209,1484
161,1,28005,33864,5077
162,1,28005,28857,1422
163,1,32969,30816,3282
164,1,20532,13022,14666
165,1,29934,29443,529
166,1,17807,17345,624
167,1,28073,29754,2252
168,1,23092,22448,3830
169,1,23092,21337,5352
170,1,49077,26000,599
171,1,35367,31838,5880
172,1,34597,20764,14600
173,1,38695,38665,716
174,1,19586,15522,12243
175,1,32791,20764,11363
176,1,17370,34437,18685
177,1,13264,18528,7092
178,2,29876,26963,5377
179,2,45496,39505,19986
180,2,12937,12791,174
181,2,12946,12243,1439
182,2,47511,13949,2258
183,2,36169,36373,572
184,2,18398,12791,9152
185,2,12788,12243,2517
186,2,36377,37628,12455
187,2,13022,12155,4203
188,2,12405,12243,3097
189,2,20654,19582,1564
190,2,27865,25462,3177
191,2,21720,22749,8039
192,2,25324,29541,7973
193,2,24055,29676,10646
194,2,22122,22454,754
195,2,34098,33662,2457
196,2,19765,25699,7796
197,2,21170,19111,7458
198,2,24788,27780,4176
199,2,18718,12243,10126
200,2,15944,12791,7958
