SID,T-06:00:00,NODE
1,0,23995
2,0,16871
3,0,24746
4,0,10926
5,0,24358
6,0,22169
7,0,31716
8,0,23268
9,0,22724
10,0,27142
11,0,18523
12,0,23965
13,0,26284
14,0,25984
15,0,25604
16,0,25263
17,0,9577
18,0,28950
19,0,23573
20,0,48014
21,0,25984
22,0,28809
23,0,21474
24,0,22324
25,0,25097
26,0,26862
27,0,17686
28,0,27222
29,0,34216
30,0,20571
31,0,18839
32,0,33662
33,0,24119
34,0,25190
35,0,47989
36,0,19910
37,0,26208
38,0,25524
39,0,29984
40,0,24201
41,0,34369
42,0,24142
43,0,48665
44,0,25964
45,0,9928
46,0,18528
47,0,16452
48,0,20158
49,0,16849
50,0,20375
51,0,21341
52,0,24891
53,0,26086
54,0,19344
55,0,49330
56,0,35028
57,0,27281
58,0,29902
59,0,22749
60,0,27376
61,0,25621
62,0,25316
63,0,28376
64,0,27244
65,0,23851
66,0,21424
67,0,33247
68,0,34787
69,0,24500
70,0,21168
71,0,24166
72,0,29612
73,0,29434
74,0,26628
75,0,49377
76,0,30228
77,0,27011
78,0,23564
79,0,23604
80,0,28562
81,0,17870
82,0,27124
83,0,27002
84,0,31271
85,0,26923
86,0,30906
87,0,25075
88,0,50197
89,0,29208
90,0,17073
91,0,47700
92,0,27455
93,0,25190
94,0,18959
95,0,26010
96,0,22905
97,0,12791
98,0,28367
99,0,22563
100,0,29408
101,0,31855
102,0,28776
103,0,29779
104,0,48014
105,0,24119
106,0,28426
107,0,24500
108,0,26196
109,0,20158
110,0,33247
111,0,23792
112,0,24180
113,0,24020
114,0,21869
115,0,22331
116,0,26733
117,0,26370
118,0,30415
119,0,10352
120,0,25083
121,0,12243
122,0,32969
123,0,22317
124,0,25788
125,0,27865
126,0,48374
127,0,28228
128,0,26504
129,0,29024
130,0,29566
131,0,30935
132,0,21317
133,0,32118
134,0,14190
135,0,30243
136,0,25984
137,0,19770
138,0,33153
139,0,23221
140,0,24871
141,0,19109
142,0,29104
143,0,20605
144,0,27816
145,0,27865
146,0,16287
147,0,20137
148,0,27605
149,0,25372
150,0,17740
151,0,18959
152,0,22507
153,0,26694
154,0,24999
155,0,26859
156,0,15603
157,0,25094
158,0,18013
159,0,48541
160,0,25324
161,0,22749
162,0,27455
163,0,19195
164,0,27674
165,0,27816
166,0,23995
167,0,21865
168,0,20233
169,0,31243
170,0,36754
171,0,33697
172,0,33662
173,0,22193
174,0,26262
175,0,48458
176,0,25997
177,0,20536
178,0,29104
179,0,24914
180,0,31203
181,0,23221
182,0,31168
183,0,23928
184,0,26923
185,0,36561
186,0,18176
187,0,23628
188,0,25324
189,0,26596
190,0,23163
191,0,28883
192,0,29263
193,0,25457
194,0,25958
195,0,27914
196,0,21147
197,0,48541
198,0,24066
199,0,22455
200,0,22787
