SID,T-06:00:00,NODE
1,0,26925
2,0,22879
3,0,22193
4,0,18093
5,0,20353
6,0,21808
7,0,20233
8,0,28558
9,0,32032
10,0,23318
11,0,25120
12,0,19661
13,0,22279
14,0,17538
15,0,10473
16,0,16623
17,0,31499
18,0,30678
19,0,19338
20,0,21293
21,0,22055
22,0,20328
23,0,33697
24,0,26086
25,0,24527
26,0,21998
27,0,23043
28,0,33097
29,0,26308
30,0,27195
31,0,17776
32,0,21429
33,0,50205
34,0,17914
35,0,34317
36,0,16411
37,0,18042
38,0,27120
39,0,31454
40,0,25548
41,0,20780
42,0,18444
43,0,29860
44,0,22455
45,0,30120
46,0,27090
47,0,23508
48,0,26197
49,0,35436
50,0,20516
51,0,25282
52,0,23468
53,0,48036
54,0,25868
55,0,20032
56,0,25215
57,0,25984
58,0,32317
59,0,22795
60,0,22345
61,0,31622
62,0,14846
63,0,24315
64,0,12243
65,0,33954
66,0,22137
67,0,26208
68,0,25094
69,0,28523
70,0,18839
71,0,26760
72,0,31838
73,0,29994
74,0,26575
75,0,12791
76,0,27202
77,0,12791
78,0,15981
79,0,23734
80,0,32969
81,0,19111
82,0,8806
83,0,17883
84,0,27142
85,0,29434
86,0,22604
87,0,26197
88,0,27181
89,0,30268
90,0,25215
91,0,30069
92,0,21436
93,0,33811
94,0,15701
95,0,22204
96,0,19487
97,0,19417
98,0,9097
99,0,26197
100,0,26618
101,0,21144
102,0,32321
103,0,23393
104,0,30419
105,0,27348
106,0,25329
107,0,24654
108,0,19509
109,0,19991
110,0,27914
111,0,24191
112,0,26401
113,0,25200
114,0,18959
115,0,26650
116,0,20281
117,0,31220
118,0,30031
119,0,26650
120,0,14660
121,0,20615
122,0,17811
123,0,21256
124,0,21619
125,0,27281
126,0,26166
127,0,31193
128,0,34898
129,0,11724
130,0,21147
131,0,23604
132,0,25740
133,0,28084
134,0,32732
135,0,29095
136,0,29865
137,0,27564
138,0,29652
139,0,34849
140,0,26338
141,0,31844
142,0,12243
143,0,29893
144,0,16597
145,0,18089
146,0,25225
147,0,48541
148,0,33960
149,0,20473
150,0,26080
151,0,27120
152,0,21458
153,0,26800
154,0,27120
155,0,21872
156,0,26739
157,0,15030
158,0,34916
159,0,19303
160,0,23074
161,0,18494
162,0,27120
163,0,25815
164,0,27998
165,0,21284
166,0,26454
167,0,23766
168,0,21429
169,0,25120
170,0,21094
171,0,28813
172,0,23185
173,0,48541
174,0,32946
175,0,25164
176,0,30392
177,0,19146
178,0,22422
179,0,23788
180,0,18899
181,0,25094
182,0,48541
183,0,25969
184,0,27308
185,0,24880
186,0,10362
187,0,28826
188,0,48005
189,0,29084
190,0,23888
191,0,21107
192,0,16885
193,0,14036
194,0,18016
195,0,20770
196,0,22137
197,0,29104
198,0,19803
199,0,33247
200,0,20137
201,0,28110
202,0,26699
203,0,34751
204,0,13357
205,0,26197
206,0,27865
207,0,48674
208,0,21122
209,0,33348
210,0,23618
211,0,28110
212,0,20835
213,0,16222
214,0,26649
215,0,20670
216,0,29486
217,0,23865
218,0,24255
219,0,23524
220,0,23962
221,0,17584
222,0,27410
223,0,26439
224,0,22345
225,0,21093
226,0,23559
227,0,25970
228,0,19015
229,0,22992
230,0,48979
231,0,29229
232,0,22137
233,0,17801
234,0,23845
235,0,33811
236,0,25770
237,0,23276
238,0,23559
239,0,25083
240,0,20946
241,0,25225
242,0,22353
243,0,20770
244,0,24102
245,0,12243
246,0,19509
247,0,21170
248,0,25562
249,0,15522
250,0,26176
251,0,21402
252,0,30620
253,0,22751
254,0,32732
255,0,20158
256,0,26726
257,0,29313
258,0,15864
259,0,17459
260,0,23874
261,0,11927
262,0,34419
263,0,19533
264,0,50500
265,0,22869
266,0,26963
267,0,17807
268,0,29684
269,0,19252
270,0,26307
271,0,12791
272,0,28185
273,0,27142
274,0,24487
275,0,20571
276,0,24122
277,0,27410
278,0,14758
279,0,21797
280,0,21487
281,0,24954
282,0,15619
283,0,22986
284,0,29095
285,0,28207
286,0,32998
287,0,31838
288,0,30120
289,0,23245
290,0,24130
291,0,25826
292,0,24255
293,0,23653
294,0,21991
295,0,19886
296,0,27072
297,0,21801
298,0,19535
299,0,31499
300,0,10470
301,0,25522
302,0,21830
303,0,48056
304,0,27120
305,0,27679
306,0,29570
307,0,22279
308,0,23788
309,0,26308
310,0,23788
311,0,32032
312,0,26694
313,0,27205
314,0,22406
315,0,28228
316,0,18309
317,0,31331
318,0,29408
319,0,26227
320,0,19545
321,0,30878
322,0,32185
323,0,17285
324,0,28826
325,0,31810
326,0,12243
327,0,27120
328,0,26720
329,0,19111
330,0,15753
331,0,22791
332,0,27948
333,0,34041
334,0,22303
335,0,21771
336,0,25548
337,0,17995
338,0,24927
339,0,13405
340,0,31838
341,0,27622
342,0,31243
343,0,19770
344,0,18105
345,0,27659
346,0,26308
347,0,26601
348,0,28998
349,0,22795
350,0,20463
351,0,21177
352,0,17883
353,0,30401
354,0,20605
355,0,21771
356,0,34313
357,0,20835
358,0,25573
359,0,16035
360,0,23446
361,0,21036
362,0,48455
363,0,29652
364,0,17889
365,0,33635
366,0,20162
367,0,48583
368,0,21822
369,0,25452
370,0,23564
371,0,32105
372,0,49333
373,0,30359
374,0,23534
375,0,24871
376,0,48641
377,0,19786
378,0,25338
379,0,28185
380,0,26452
381,0,20741
382,0,24654
383,0,19365
384,0,34755
385,0,25423
386,0,26701
387,0,22252
388,0,28116
389,0,17900
390,0,17900
391,0,23612
392,0,34471
393,0,26405
394,0,19154
395,0,31570
396,0,34506
397,0,23894
398,0,21720
399,0,26741
400,0,22911
401,0,29657
402,0,22682
403,0,25447
404,0,17960
405,0,23393
406,0,24642
407,0,21168
408,0,21256
409,0,33266
410,0,22279
411,0,22466
412,0,20406
413,0,15959
414,0,20575
415,0,23530
416,0,36561
417,0,24130
418,0,24746
419,0,27090
420,0,33662
421,0,27142
422,0,23524
423,0,27564
424,0,20680
425,0,23268
426,0,23573
427,0,31595
428,0,22454
429,0,25164
430,0,19770
431,0,31187
432,0,24967
433,0,23221
434,0,19991
435,0,30742
436,0,25726
437,0,27530
438,0,24049
439,0,50192
440,0,27290
441,0,23652
442,0,25997
443,0,27900
444,0,12124
445,0,26610
446,0,31838
447,0,29269
448,0,31192
449,0,25200
450,0,18943
451,0,15780
452,0,16138
453,0,19546
454,0,30411
455,0,29714
456,0,25659
457,0,21693
458,0,28523
459,0,20162
460,0,27816
461,0,29652
462,0,19498
463,0,31691
464,0,29269
465,0,25221
466,0,27445
467,0,22255
468,0,28809
469,0,17526
470,0,24308
471,0,30875
472,0,33662
473,0,4630
474,0,26786
475,0,24030
476,0,27032
477,0,23363
478,0,33247
479,0,27167
480,0,27019
481,0,17932
482,0,18420
483,0,29181
484,0,27194
485,0,30028
486,0,17330
487,0,34518
488,0,22242
489,0,20571
490,0,19740
491,0,22242
492,0,48005
493,0,29044
494,0,48663
495,0,24871
496,0,22001
497,0,18942
498,0,28481
499,0,20235
500,0,25548
501,0,24832
502,0,28467
503,0,25164
504,0,26202
505,0,23847
506,0,17883
507,0,20418
508,0,23302
509,0,28520
510,0,26779
511,0,33662
512,0,22193
513,0,20463
514,0,20032
515,0,28948
516,0,29084
517,0,21983
518,0,27306
519,0,31622
520,0,21693
521,0,23236
522,0,22644
523,0,17345
524,0,31187
525,0,22255
526,0,21901
527,0,19923
528,0,21918
529,0,29285
530,0,21945
531,0,23792
532,0,23487
533,0,24909
534,0,16597
535,0,18173
536,0,29518
537,0,30363
538,0,29893
539,0,28190
540,0,24588
541,0,23175
542,0,26277
543,0,26882
544,0,26645
545,0,29676
546,0,28376
547,0,27120
548,0,23257
549,0,26197
550,0,23749
551,0,48005
552,0,20293
553,0,21309
554,0,24057
555,0,23508
556,0,23653
557,0,33679
558,0,12243
559,0,24220
560,0,25453
561,0,25452
562,0,29084
563,0,23537
564,0,27905
565,0,21747
566,0,27090
567,0,19015
568,0,23245
569,0,11696
570,0,22279
571,0,17867
572,0,26143
573,0,26615
574,0,31844
575,0,29934
576,0,24315
577,0,24341
578,0,23422
579,0,23245
580,0,25550
581,0,22749
582,0,20695
583,0,33266
584,0,49484
585,0,29652
586,0,13189
587,0,21969
588,0,25200
589,0,21370
590,0,26645
591,0,34062
592,0,19313
593,0,18020
594,0,26511
595,0,22810
596,0,24471
597,0,21378
598,0,23498
599,0,34736
600,0,48541
601,0,16884
602,0,25340
603,0,20162
604,0,23163
605,0,18257
606,0,29408
607,0,28826
608,0,29779
609,0,23524
610,0,23278
611,0,29328
612,0,20370
613,0,17867
614,0,22873
615,0,24654
616,0,25823
617,0,24446
618,0,33712
619,0,19963
620,0,22422
621,0,30499
622,0,26645
623,0,23338
624,0,31765
625,0,31464
626,0,27189
627,0,23508
628,0,26508
629,0,29566
630,0,29714
631,0,31409
632,0,21436
633,0,22137
634,0,16871
635,0,19920
636,0,23375
637,0,24527
638,0,12588
639,0,18959
640,0,19239
641,0,32738
642,0,27555
643,0,27468
644,0,30015
645,0,27019
646,0,20532
647,0,30462
648,0,27812
649,0,19871
650,0,28367
651,0,20370
652,0,15522
653,0,25815
654,0,24638
655,0,33856
656,0,22384
657,0,18802
658,0,24631
659,0,12243
660,0,12243
661,0,26596
662,0,25788
663,0,21976
664,0,33856
665,0,31381
666,0,20123
667,0,29377
668,0,23375
669,0,21720
670,0,30268
671,0,22422
672,0,31865
673,0,29890
674,0,49331
675,0,33662
676,0,28736
677,0,23865
678,0,22374
679,0,24880
680,0,15920
681,0,25215
682,0,30268
683,0,17776
684,0,17226
685,0,22768
686,0,27624
687,0,19963
688,0,20835
689,0,25726
690,0,23962
691,0,22193
692,0,31038
693,0,27011
694,0,48014
695,0,19447
696,0,25524
697,0,25447
698,0,22345
699,0,50192
700,0,35104
701,0,34216
702,0,29095
703,0,28198
704,0,21822
705,0,33153
706,0,16006
707,0,27507
708,0,19494
709,0,25326
710,0,48557
711,0,23245
712,0,19111
713,0,29306
714,0,21830
715,0,29408
716,0,14190
717,0,29541
718,0,23555
719,0,25249
720,0,20123
721,0,19923
722,0,27105
723,0,22902
724,0,20619
725,0,17459
726,0,21416
727,0,28252
728,0,21490
729,0,18917
730,0,24210
731,0,23051
732,0,24327
733,0,18457
734,0,33980
735,0,27194
736,0,24996
737,0,15634
738,0,50270
739,0,21359
740,0,26452
741,0,27158
742,0,23524
743,0,26379
744,0,22137
745,0,26714
746,0,21182
747,0,19509
748,0,18059
749,0,20571
750,0,20259
751,0,31381
752,0,24255
753,0,19312
754,0,48825
755,0,25548
756,0,19498
757,0,25621
758,0,31700
759,0,32949
760,0,24638
761,0,12072
762,0,29886
763,0,23794
764,0,32305
765,0,48682
766,0,48520
767,0,29652
768,0,27105
769,0,27417
770,0,23708
771,0,27993
772,0,27002
773,0,31838
774,0,22037
775,0,28144
776,0,15400
777,0,19740
778,0,27765
779,0,25548
780,0,30478
781,0,30479
782,0,29638
783,0,23185
784,0,26405
785,0,20115
786,0,25160
787,0,28869
788,0,27802
789,0,30196
790,0,48665
791,0,14418
792,0,23915
793,0,25340
794,0,32732
795,0,23473
796,0,24575
797,0,21416
798,0,19914
799,0,24134
800,0,16958
801,0,25601
802,0,26730
803,0,24112
804,0,19421
805,0,29291
806,0,22440
807,0,21963
808,0,29934
809,0,48682
810,0,24642
811,0,21822
812,0,13357
813,0,27195
814,0,49677
815,0,27412
816,0,29005
817,0,20883
818,0,28558
819,0,18172
820,0,24020
821,0,33188
822,0,27468
823,0,24588
824,0,23022
825,0,33811
826,0,21122
827,0,32929
828,0,23245
829,0,22229
830,0,26176
831,0,26948
832,0,20891
833,0,27129
834,0,17883
835,0,22791
836,0,27611
837,0,19520
838,0,26808
839,0,26650
840,0,24156
841,0,18942
842,0,19871
843,0,26862
844,0,25572
845,0,25795
846,0,24514
847,0,25340
848,0,26308
849,0,21416
850,0,30754
851,0,30720
852,0,30545
853,0,21822
854,0,48600
855,0,24066
856,0,50126
857,0,21124
858,0,28116
859,0,12243
860,0,22826
861,0,28084
862,0,18774
863,0,27794
864,0,29417
865,0,28783
866,0,23847
867,0,26538
868,0,30243
869,0,26526
870,0,31243
871,0,17511
872,0,12791
873,0,22454
874,0,50192
875,0,18457
876,0,25756
877,0,24130
878,0,47999
879,0,25659
880,0,26906
881,0,9936
882,0,31810
883,0,17883
884,0,16597
885,0,20241
886,0,29508
887,0,50192
888,0,31139
889,0,26027
890,0,26714
891,0,16652
892,0,25104
893,0,16642
894,0,28110
895,0,23574
896,0,16207
897,0,24210
898,0,21793
899,0,9483
900,0,22279
901,0,13416
902,0,50037
903,0,21436
