SID,T-06:00:00,NODE
1,0,29465
2,0,15597
3,0,24648
4,0,29256
5,0,21539
6,0,19765
7,0,27281
8,0,13235
9,0,27194
10,0,20123
11,0,26589
12,0,21539
13,0,27338
14,0,26943
15,0,28531
16,0,32998
17,0,25714
18,0,28144
19,0,23870
20,0,27716
21,0,7015
22,0,21890
23,0,25321
24,0,18942
25,0,27174
26,0,22749
27,0,20434
28,0,20162
29,0,10519
30,0,30767
31,0,22204
32,0,30363
33,0,25123
34,0,24308
35,0,25845
36,0,25302
37,0,21398
38,0,28684
39,0,22440
40,0,33790
41,0,10473
42,0,10705
43,0,24102
44,0,49398
45,0,26912
46,0,30243
47,0,20709
48,0,24210
49,0,25970
50,0,26645
51,0,21572
52,0,21036
53,0,25457
54,0,23442
55,0,25704
56,0,22981
57,0,26196
58,0,20120
59,0,34931
60,0,25282
61,0,9928
62,0,27674
63,0,28963
64,0,30672
65,0,26284
66,0,25891
67,0,25548
68,0,17411
69,0,21458
70,0,50150
71,0,21872
72,0,24999
73,0,26925
74,0,29028
75,0,31844
76,0,20162
77,0,18774
78,0,10470
79,0,28680
80,0,18215
81,0,31865
82,0,28520
83,0,26822
84,0,31838
85,0,31243
86,0,27842
87,0,20349
88,0,24999
89,0,26526
90,0,25815
91,0,24191
92,0,27765
93,0,25773
94,0,22255
95,0,10063
96,0,21969
97,0,48458
98,0,27542
99,0,21177
100,0,16884
