SID,T-06:00:00,NODE
1,0,22226
2,0,16140
3,0,26010
4,0,29508
5,0,16969
6,0,25116
7,0,34755
8,0,29430
9,0,29934
10,0,23519
11,0,26401
12,0,14660
13,0,21822
14,0,19695
15,0,25815
16,0,24220
17,0,25742
18,0,20370
19,0,23221
20,0,26760
21,0,31838
22,0,25659
23,0,27115
24,0,22116
25,0,31761
26,0,22454
27,0,31906
28,0,23769
29,0,48036
30,0,24871
31,0,34924
32,0,18069
33,0,27696
34,0,27242
35,0,23574
36,0,34000
37,0,26284
38,0,33639
39,0,48636
40,0,26834
41,0,30342
42,0,24880
43,0,34163
44,0,25321
45,0,21232
46,0,34980
47,0,26068
48,0,21801
49,0,25885
50,0,27693
51,0,24066
52,0,26942
53,0,23375
54,0,30620
55,0,22956
56,0,23618
57,0,25005
58,0,28005
59,0,30718
60,0,22137
61,0,27039
62,0,27816
63,0,19779
64,0,23051
65,0,25395
66,0,16287
67,0,29117
68,0,16477
69,0,25094
70,0,26884
71,0,18341
72,0,28520
73,0,25276
74,0,24030
75,0,23564
76,0,15880
77,0,31838
78,0,22117
79,0,21709
80,0,26197
81,0,26454
82,0,24862
83,0,13357
84,0,10198
85,0,26247
86,0,25788
87,0,30028
88,0,11546
89,0,19881
90,0,29117
91,0,23769
92,0,34195
93,0,22499
94,0,26808
95,0,31570
96,0,25565
97,0,31787
98,0,27692
99,0,26474
100,0,19236
101,0,21124
102,0,31595
103,0,29735
104,0,26763
105,0,25453
106,0,27595
107,0,28783
108,0,19803
109,0,20680
110,0,18495
111,0,26680
112,0,27391
113,0,11781
114,0,26262
115,0,19786
116,0,34419
117,0,22911
118,0,34420
119,0,18495
120,0,25372
121,0,32743
122,0,34518
123,0,26850
124,0,27142
125,0,25340
126,0,25699
127,0,24568
128,0,26318
129,0,18959
130,0,30754
131,0,24642
132,0,23663
133,0,25340
134,0,35104
135,0,27441
136,0,33765
137,0,21500
138,0,27794
139,0,31220
140,0,22141
141,0,28724
142,0,21063
143,0,22551
144,0,32660
145,0,27973
146,0,21093
147,0,25005
148,0,27329
149,0,27002
150,0,48541
151,0,26680
152,0,17932
153,0,9942
154,0,29984
155,0,29290
156,0,29714
157,0,23766
158,0,30243
159,0,24002
160,0,36662
161,0,25875
162,0,22480
163,0,27251
164,0,19533
165,0,32998
166,0,25319
167,0,23644
168,0,22724
169,0,24020
170,0,18427
171,0,32929
172,0,27019
173,0,24191
174,0,35187
175,0,28562
176,0,26649
177,0,20680
178,0,21116
179,0,18020
180,0,23766
181,0,26682
182,0,17180
183,0,18431
184,0,26582
185,0,30463
186,0,22324
187,0,31051
188,0,26623
189,0,31243
190,0,26699
191,0,25340
192,0,20468
193,0,21107
194,0,11466
195,0,36561
196,0,24791
197,0,22345
198,0,28325
199,0,28943
200,0,32901
201,0,17584
202,0,25562
203,0,17356
204,0,19918
205,0,26682
206,0,23635
207,0,22575
208,0,30056
209,0,21023
210,0,50612
211,0,22440
212,0,26247
213,0,26265
214,0,32917
215,0,27391
216,0,27391
217,0,22193
218,0,18063
219,0,21709
220,0,21470
221,0,19786
222,0,26610
223,0,22795
224,0,21911
225,0,26068
226,0,32323
227,0,26929
228,0,28955
229,0,23845
230,0,25164
231,0,24631
232,0,26229
233,0,23870
234,0,48337
235,0,17470
236,0,21231
